date,description,amount,type
2024-01-02,WHOLE FOODS MARKET,-87.43,debit
2024-01-03,NETFLIX,-15.99,debit
2024-01-04,UBER TRIP,-12.50,debit
2024-01-05,SALARY DEPOSIT,4500.00,credit
2024-01-06,STARBUCKS,-6.75,debit
2024-01-07,AMAZON PRIME,-14.99,debit
2024-01-08,CVpharmacy,-23.10,debit
2024-01-09,CHIPOTLE,-13.45,debit
2024-01-10,SPOTIFY,-9.99,debit
2024-01-11,SHELL GAS STATION,-58.20,debit
2024-01-12,WHOLE FOODS MARKET,-92.10,debit
2024-01-13,UBER TRIP,-18.30,debit
2024-01-14,GYM MEMBERSHIP,-49.99,debit
2024-01-15,VENMO TRANSFER,-200.00,debit
2024-01-16,STARBUCKS,-7.25,debit
2024-01-17,HULU,-17.99,debit
2024-01-18,AMAZON PURCHASE,-134.99,debit
2024-01-19,CHIPOTLE,-14.20,debit
2024-01-20,UBER EATS,-45.80,debit
2024-01-21,FREELANCE PAYMENT,850.00,credit
2024-01-22,RENT PAYMENT,-1800.00,debit
2024-01-23,WHOLE FOODS MARKET,-110.55,debit
2024-01-24,STARBUCKS,-6.50,debit
2024-01-25,UBER TRIP,-9.80,debit
2024-01-26,ADOBE CREATIVE CLOUD,-54.99,debit
2024-01-27,APPLE ICLOUD,-2.99,debit
2024-01-28,CHATGPT PLUS,-20.00,debit
2024-01-29,SHELL GAS STATION,-61.40,debit
2024-01-30,SEPHORA,-389.00,debit
2024-01-31,STARBUCKS,-8.10,debit
2024-02-01,WHOLE FOODS MARKET,-78.90,debit
2024-02-02,NETFLIX,-15.99,debit
2024-02-03,SALARY DEPOSIT,4500.00,credit
2024-02-04,UBER TRIP,-22.10,debit
2024-02-05,CHIPOTLE,-13.80,debit
2024-02-06,STARBUCKS,-6.95,debit
2024-02-07,AMAZON PURCHASE,-67.50,debit
2024-02-08,SPOTIFY,-9.99,debit
2024-02-09,GYM MEMBERSHIP,-49.99,debit
2024-02-10,HULU,-17.99,debit
2024-02-11,SHELL GAS STATION,-54.30,debit
2024-02-12,WHOLE FOODS MARKET,-95.20,debit
2024-02-13,UBER EATS,-38.50,debit
2024-02-14,VALENTINES DINNER,-210.00,debit
2024-02-15,STARBUCKS,-7.40,debit
2024-02-16,RENT PAYMENT,-1800.00,debit
2024-02-17,AMAZON PRIME,-14.99,debit
2024-02-18,ADOBE CREATIVE CLOUD,-54.99,debit
2024-02-19,APPLE ICLOUD,-2.99,debit
2024-02-20,CHATGPT PLUS,-20.00,debit
2024-02-21,FREELANCE PAYMENT,600.00,credit
2024-02-22,WHOLE FOODS MARKET,-88.40,debit
2024-02-23,UBER TRIP,-15.60,debit
2024-02-24,STARBUCKS,-6.80,debit
2024-02-25,CVPHARMACY,-18.90,debit
2024-02-26,VENMO TRANSFER,-150.00,debit
2024-02-27,CHIPOTLE,-12.90,debit
2024-02-28,STARBUCKS,-7.10,debit
